"id","name","country_id","name@sk"
"tax_group_vat_21","VAT 21%","base.sk","DPH 21%"
"tax_group_vat_19","VAT 19%","base.sk","DPH 19%"
"tax_group_vat_0","VAT 0%","base.sk","DPH 0%"
